province_name,region_name
Chiang Mai,Northern
Chiang Rai,Northern
Lampang,Northern
Lamphun,Northern
Phrae,Northern
Nan,Northern
Phayao,Northern
Mae Hong Son,Northern
Uttaradit,Northern
Sukhothai,Northern
Phitsanulok,Northern
Phichit,Northern
Kamphaeng Phet,Northern
Tak,Western
Nakhon Ratchasima,Northeastern
Buri Ram,Northeastern
Surin,Northeastern
Si Sa Ket,Northeastern
Ubon Ratchathani,Northeastern
Yasothon,Northeastern
Amnat Charoen,Northeastern
Mukdahan,Northeastern
Roi Et,Northeastern
Maha Sarakham,Northeastern
Khon Kaen,Northeastern
Kalasin,Northeastern
Chaiyaphum,Northeastern
Nong Bua Lam Phu,Northeastern
Udon Thani,Northeastern
Nong Khai,Northeastern
Loei,Northeastern
Sakon Nakhon,Northeastern
Nakhon Phanom,Northeastern
Bueng Kan,Northeastern
Bangkok,Central
Nonthaburi,Central
Pathum Thani,Central
Samut Prakan,Central
Samut Sakhon,Central
Samut Songkhram,Central
Nakhon Pathom,Central
Ayutthaya,Central
Ang Thong,Central
Lopburi,Central
Sing Buri,Central
Chai Nat,Central
Saraburi,Central
Nakhon Sawan,Central
Uthai Thani,Central
Suphan Buri,Central
Kanchanaburi,Western
Ratchaburi,Western
Phetchaburi,Western
Prachuap Khiri Khan,Western
Chonburi,Eastern
Rayong,Eastern
Chanthaburi,Eastern
Trat,Eastern
Prachin Buri,Eastern
Sa Kaeo,Eastern
Chachoengsao,Eastern
Chumphon,Southern
Ranong,Southern
Surat Thani,Southern
Phang Nga,Southern
Phuket,Southern
Krabi,Southern
Nakhon Si Thammarat,Southern
Phatthalung,Southern
Trang,Southern
Satun,Southern
Songkhla,Southern
Pattani,Southern
Yala,Southern
Narathiwat,Southern
Phetchabun,Northern
Nakhon Nayok,Central
